mu,eta,distance,targets,number-of-flights,inside,outside
1.100000,69.3804,100000033.728304,2775216,10380088,855509,1919707
1.200000,83.1583,100000048.016907,3326335,15677584,1451997,1874338
1.300000,103.348,100000014.977410,4133906,29626527,2325133,1808773
1.400000,127.456,100000010.186793,5098244,59378950,3370915,1727329
1.500000,152.211,100000000.312020,6088436,118531355,4450693,1637743
1.600000,175.027,100000044.020714,7001083,229472340,5452513,1548570
1.700000,194.589,100000035.954200,7783549,422752916,6313529,1470020
1.800000,209.976,100000059.141987,8399025,736266451,6995103,1403922
1.900000,221.943,100000049.325938,8877734,1199968006,7525990,1351744
2.000000,231.671,100000046.530800,9266825,1824092835,7953424,1313401
2.100000,238.945,100000000.687534,9557811,2583737187,8271322,1286489
2.200000,244.642,100000040.926974,9785702,3432257691,8516537,1269165
2.300000,248.28,100000042.682476,9931199,4306967421,8671925,1259274
2.400000,252.018,100000015.108956,10080714,5157090794,8826790,1253924
2.500000,254.194,100000043.012476,10167768,5950652836,8915999,1251769
2.600000,255.988,100000025.574909,10239523,6672446850,8988250,1251273
2.700000,256.453,100000069.234838,10258123,7320999308,9006445,1251678
2.800000,256.645,100000036.247131,10265795,7897571286,9013306,1252489
2.900000,255.67,100000009.498224,10226790,8411929270,8973200,1253590
3.000000,255.657,100000072.469508,10226284,8870446188,8971773,1254511
