mu,eta,distance,targets,number-of-flights,inside,outside
1.100000,47.9005,100000017.228079,1916019,6756084,29586,1886433
1.200000,47.0221,100000034.055622,1880886,6670848,34932,1845954
1.300000,45.8084,100000036.672653,1832336,7968212,39206,1793130
1.400000,44.3507,100000035.217313,1774029,10070955,40627,1733402
1.500000,42.8237,100000039.675999,1712949,12913331,39866,1673083
1.600000,41.3424,100000059.876983,1653696,16451895,37627,1616069
1.700000,39.9355,100000095.124321,1597421,20671656,34209,1563212
1.800000,38.6472,100000042.306338,1545889,25507098,30366,1515523
1.900000,37.5243,100000016.556406,1500971,30835338,26637,1474334
2.000000,36.5439,100000002.426397,1461757,36548283,23296,1438461
2.100000,35.6958,100000012.455493,1427834,42475110,19818,1408016
2.200000,35.0118,100000009.067507,1400471,48497319,17145,1383326
2.300000,34.4185,100000006.456147,1376741,54511375,14299,1362442
2.400000,33.9273,100000064.794146,1357092,60375547,12108,1344984
2.500000,33.5341,100000054.780385,1341363,66029654,10022,1331341
2.600000,33.206,100000023.346592,1328242,71370663,8092,1320150
2.700000,32.9432,100000014.631236,1317729,76450498,6484,1311245
2.800000,32.7206,100000028.249300,1308826,81197547,4850,1303976
2.900000,32.5527,100000053.260201,1302107,85564291,3406,1298701
3.000000,32.4107,100000034.996309,1296428,89633401,2269,1294159
