alpha,eta,distance,targets,number-of-flights,inside,outside, inside-percent, outside-percent
0.100000,444.649022,100056.444076,4449,15352,2799,1650, 0.629130, 0.370870
0.200000,584.554411,100007.798983,5846,52826,4344,1502, 0.743072, 0.256928
0.300000,794.995436,100025.731492,7952,199484,6608,1344, 0.830986, 0.169014
0.400000,1092.333852,100006.055652,10924,810455,9734,1190, 0.891066, 0.108934
0.500000,1407.209241,100006.449552,14073,3059749,13080,992, 0.929439, 0.070490
0.600000,1895.940369,100003.145184,18960,11613407,18123,836, 0.955854, 0.044093
0.700000,2382.326826,100007.269113,23825,42723511,23155,669, 0.971878, 0.028080
0.800000,2649.153807,100016.842865,26496,141903426,26021,475, 0.982073, 0.017927
0.900000,2823.234083,100002.334819,28233,405893156,27906,326, 0.988418, 0.011547
1.000000,2491.888641,100000.455841,24919,974692491,24745,174, 0.993017, 0.006983
1.100000,1516.799998,100000.000104,15168,1856497762,15097,70, 0.995319, 0.004615
1.200000,1125.600000,100000.000011,11256,2931121543,11226,29, 0.997335, 0.002576
1.300000,232.300000,100000.000008,2323,4011526347,2316,6, 0.996987, 0.002583
1.400000,361.100000,100000.000033,3611,4992970550,3608,2, 0.999169, 0.000554
1.500000,216.200000,100000.000002,2162,5863012478,2161,0, 0.999537, 0.000000
1.600000,128.500000,100000.000010,1285,6627336876,1284,0, 0.999222, 0.000000
1.700000,11.400000,100000.000010,114,7294628047,113,0, 0.991228, 0.000000
