alpha,eta,distance,targets,number-of-flights,inside,outside, inside-percent, outside-percent
0.100000,15.614639,1000001.308887,490549,1304835,308413,182136, 0.628710, 0.371290
0.200000,19.509857,1000002.904926,612922,2730953,449370,163552, 0.733160, 0.266840
0.300000,25.401904,1000003.306141,798027,6507613,653644,144383, 0.819075, 0.180925
0.400000,33.037479,1000001.927715,1037905,15779440,912420,125485, 0.879098, 0.120902
0.500000,42.485399,1000008.861687,1334730,37885292,1227789,106941, 0.919878, 0.080122
0.600000,42.485399,1000008.861687,1334730,37885292,1227789,106941, 0.919878, 0.080122
0.700000,64.903004,1000000.002948,2038988,198643259,1968907,70081, 0.965630, 0.034370
0.800000,74.555924,1000010.486751,2342268,417630752,2289756,52512, 0.977581, 0.022419
0.900000,78.640097,1000017.201247,2470594,806106629,2434468,36126, 0.985378, 0.014622
1.000000,77.490693,1000041.524044,2434543,1413596930,2411951,22592, 0.990720, 0.009280
1.100000,67.725360,1000010.367780,2127677,2220661854,2114858,12819, 0.993975, 0.006025
1.200000,54.155978,1000004.564812,1701368,3154553219,1694727,6641, 0.996097, 0.003903
1.300000,41.008487,1000223.071010,1288607,4123166561,1285512,3095, 0.997598, 0.002402
1.400000,26.992471,1000116.157585,848092,5043339514,846717,1375, 0.998379, 0.001621
1.500000,19.378142,1001330.080118,609592,5891037223,609010,582, 0.999045, 0.000955
1.600000,11.783734,1001961.298369,370923,6645925364,370693,230, 0.999380, 0.000620
1.700000,7.979935,1015309.126490,254535,7409256559,254425,110, 0.999568, 0.000432
