alpha,eta,distance,targets,number-of-flights,inside,outside, inside-percent, outside-percent
0.100000,126.343566,1000050.342918,39694,91044,23198,16496, 0.584421, 0.415579
0.200000,140.529358,1000054.365431,44151,147919,29032,15119, 0.657562, 0.342438
0.300000,157.152844,1000019.806267,49372,271822,35809,13563, 0.725290, 0.274710
0.400000,173.240041,1000037.409859,54427,530076,42424,12003, 0.779466, 0.220534
0.500000,193.456979,1000110.199423,60783,1015335,50329,10454, 0.828011, 0.171989
0.600000,193.456979,1000110.199423,60783,1015335,50329,10454, 0.828011, 0.171989
0.700000,218.635142,1000272.897445,68705,3622779,61446,7259, 0.894345, 0.105655
0.800000,221.207430,1000124.273596,69503,6494497,63848,5655, 0.918637, 0.081363
0.900000,205.910917,1000095.494573,64695,10733030,60572,4123, 0.936270, 0.063730
1.000000,179.251502,1000274.888940,56329,16888160,53482,2847, 0.949458, 0.050542
1.100000,148.334801,1000026.779085,46602,24654517,44750,1852, 0.960259, 0.039741
1.200000,120.230920,1000194.392036,37779,33284353,36682,1097, 0.970963, 0.029037
1.300000,99.537504,1000267.690661,31279,42195350,30650,629, 0.979891, 0.020109
1.400000,72.789147,1002169.688328,22917,51135697,22557,360, 0.984291, 0.015709
1.500000,50.776724,1003762.642651,16012,59404990,15840,172, 0.989258, 0.010742
1.600000,31.647962,1000955.433175,9952,66527394,9871,81, 0.991861, 0.008139
1.700000,21.768911,1011711.653086,6919,73871857,6877,42, 0.993930, 0.006070
