alpha,eta,distance,targets,number-of-flights,inside,outside, inside-percent, outside-percent
0.100000,104.487350,1004.906338,42,77,25,17, 0.595238, 0.404762
0.200000,77.309979,1002.457911,31,62,12,19, 0.387097, 0.612903
0.300000,52.876475,1040.160118,22,87,9,13, 0.409091, 0.590909
0.400000,118.056810,1016.459791,48,95,31,17, 0.645833, 0.354167
0.500000,66.493836,1052.729162,28,162,17,11, 0.607143, 0.392857
0.600000,66.493836,1052.729162,28,162,17,11, 0.607143, 0.392857
0.700000,71.399274,1050.430855,30,143,17,13, 0.566667, 0.433333
0.800000,40.464690,1050.298428,17,186,10,7, 0.588235, 0.411765
0.900000,35.041082,1284.206928,18,149,11,7, 0.611111, 0.388889
1.000000,43.768531,1199.491943,21,500,14,7, 0.666667, 0.333333
1.100000,34.437987,1234.102318,17,174,13,4, 0.764706, 0.235294
1.200000,15.874628,1102.388040,7,354,5,2, 0.714286, 0.285714
1.300000,30.450947,1395.687292,17,562,14,3, 0.823529, 0.176471
1.400000,9.768458,1023.703031,4,514,2,2, 0.500000, 0.500000
1.500000,19.998452,1500.116083,12,882,7,5, 0.583333, 0.416667
1.600000,3.759064,1330.118461,2,916,0,2, 0.000000, 1.000000
1.700000,14.633693,1879.224826,11,1373,8,3, 0.727273, 0.272727
1.800000,37.017639,1755.919661,26,1431,24,2, 0.923077, 0.076923
1.900000,5.088487,2456.526068,5,2038,4,1, 0.800000, 0.200000
2.000000,10.276488,1702.916378,7,1533,5,2, 0.714286, 0.285714
