alpha,eta,distance,targets,number-of-flights,inside,outside, inside-percent, outside-percent
0.100000,111.847774,1000019.905490,44740,69888,25690,19050, 0.574207, 0.425793
0.200000,110.488363,1000060.069822,44198,80100,26573,17625, 0.601226, 0.398774
0.300000,102.826547,1000009.270123,41131,94337,24994,16137, 0.607668, 0.392332
0.400000,94.614909,1000027.387864,37847,112548,23243,14604, 0.614131, 0.385869
0.500000,86.983601,1000016.087533,34794,137504,21713,13081, 0.624044, 0.375956
0.600000,86.983601,1000016.087533,34794,137504,21713,13081, 0.624044, 0.375956
0.700000,74.170510,1000060.536654,29670,205144,19440,10230, 0.655207, 0.344793
0.800000,64.829293,1000049.471126,25933,248596,17171,8762, 0.662129, 0.337871
0.900000,58.998644,1000065.355066,23601,297415,16036,7565, 0.679463, 0.320537
1.000000,51.390044,1000047.785678,20557,352201,14200,6357, 0.690762, 0.309238
1.100000,45.471122,1000305.201025,18194,403414,12815,5379, 0.704353, 0.295647
1.200000,39.402902,1000243.581866,15765,465136,11347,4418, 0.719759, 0.280241
1.300000,33.570328,1000437.053720,13434,525983,9857,3577, 0.733735, 0.266265
1.400000,28.686567,1000032.524726,11475,585460,8596,2879, 0.749107, 0.250893
1.500000,23.868438,1000170.172774,9549,645904,7242,2307, 0.758404, 0.241596
1.600000,20.742570,1000599.266016,8302,699948,6464,1838, 0.778608, 0.221392
1.700000,18.143301,1001609.326797,7269,753851,5775,1494, 0.794470, 0.205530
1.800000,14.931536,1000232.012624,5974,801418,4839,1135, 0.810010, 0.189990
1.900000,13.127161,1000406.702949,5253,847834,4385,868, 0.834761, 0.165239
2.000000,11.401901,1000052.525049,4561,890665,3876,685, 0.849814, 0.150186
