alpha,eta,distance,targets,number-of-flights,inside,outside, inside-percent, outside-percent
0.100000,1455.693175,5000023.442829,72785,153266,46798,25987, 0.642962, 0.357038
0.200000,1637.268127,5000097.335044,81865,271664,58147,23717, 0.710279, 0.289709
0.300000,1788.855305,5000013.123349,89443,565404,68083,21360, 0.761189, 0.238811
0.400000,1954.759970,5000000.076207,97738,1220759,78856,18881, 0.806810, 0.193180
0.500000,2069.438778,5000002.953024,103472,2677660,87193,16278, 0.842672, 0.157318
0.600000,2263.163773,5000035.851111,113159,5847223,99264,13894, 0.877208, 0.122783
0.700000,2325.477722,5000004.898728,116274,12107765,105012,11261, 0.903143, 0.096849
0.800000,2255.694923,5000011.253073,112785,24170368,104201,8583, 0.923891, 0.076101
0.900000,2133.776632,5000007.892269,106689,44410359,100497,6191, 0.941962, 0.058028
1.000000,1859.199981,5000000.049803,92960,74420329,88832,4127, 0.955594, 0.044395
1.100000,1462.039943,5000000.193853,73102,114414385,70629,2472, 0.966171, 0.033816
1.200000,1159.919997,5000000.012717,57996,159686651,56587,1408, 0.975705, 0.024278
1.300000,786.239712,5000001.829450,39312,207091897,38601,710, 0.981914, 0.018061
1.400000,513.574375,5000054.763234,25679,252455030,25318,360, 0.985942, 0.014019
1.500000,251.719999,5000000.022320,12586,294500513,12432,153, 0.987764, 0.012156
1.600000,216.820000,5000000.006571,10841,331732223,10771,69, 0.993543, 0.006365
1.700000,128.660000,5000000.000201,6433,364887152,6404,28, 0.995492, 0.004353
