alpha,eta,distance,targets,number-of-flights,inside,outside, inside-percent, outside-percent
0.100000,438.074058,1000013.563439,43808,123248,27220,16588, 0.621348, 0.378652
0.200000,567.234870,1000044.302655,56726,339357,41768,14958, 0.736311, 0.263689
0.300000,754.312712,1000009.661847,75432,1029490,62072,13360, 0.822887, 0.177113
0.400000,1012.165352,1000024.352119,101219,3183472,89416,11803, 0.883391, 0.116609
0.500000,1319.399690,1000038.131229,131945,9752252,121675,10269, 0.922165, 0.077828
0.600000,1729.909987,1000000.007429,172991,29699689,164354,8636, 0.950073, 0.049922
0.700000,2122.557814,1000001.029912,212256,85303294,205403,6852, 0.967714, 0.032282
0.800000,2466.685802,1000013.863972,246672,228583664,241652,5019, 0.979649, 0.020347
0.900000,2453.139992,1000000.003228,245314,546635448,242032,3281, 0.986621, 0.013375
1.000000,2406.480000,1000000.000019,240648,1130410544,238697,1950, 0.991893, 0.008103
1.100000,1834.626403,1000001.960846,183463,1981237264,182509,953, 0.994800, 0.005195
1.200000,1350.520000,1000000.000244,135052,3005686049,134647,404, 0.997001, 0.002991
1.300000,790.719999,1000000.001228,79072,4037766075,78924,147, 0.998128, 0.001859
1.400000,467.310000,1000000.000649,46731,5002444082,46672,58, 0.998737, 0.001241
1.500000,364.930000,1000000.000418,36493,5866004549,36470,22, 0.999370, 0.000603
1.600000,178.900000,1000000.000166,17890,6628498277,17884,5, 0.999665, 0.000279
1.700000,211.480000,1000000.000018,21148,7294582363,21145,2, 0.999858, 0.000095
