alpha,eta,distance,targets,number-of-flights,inside,outside, inside-percent, outside-percent
0.100000,871.163021,1000042.447657,8712,21904,3520,5192, 0.404040, 0.595960
0.200000,865.399963,1000000.043137,8654,45213,3914,4740, 0.452276, 0.547724
0.300000,804.765546,1000042.812945,8048,101188,3785,4263, 0.470303, 0.529697
0.400000,769.768499,1000170.831404,7699,227733,3954,3745, 0.513573, 0.486427
0.500000,735.080762,1000026.171483,7351,518727,4111,3239, 0.559244, 0.440620
0.600000,640.092085,1000012.365992,6401,1143895,3653,2747, 0.570692, 0.429152
0.700000,575.832417,1000117.365009,5759,2421269,3514,2245, 0.610175, 0.389825
0.800000,530.177926,1000230.250515,5303,4710629,3532,1771, 0.666038, 0.333962
0.900000,388.080339,1000050.662525,3881,8794515,2662,1219, 0.685906, 0.314094
1.000000,278.899902,1000000.351270,2789,14830039,1958,830, 0.702044, 0.297598
1.100000,181.999998,1000000.009615,1820,22963586,1350,469, 0.741758, 0.257692
1.200000,127.798979,1000007.988303,1278,31844052,986,291, 0.771518, 0.227700
1.300000,75.700000,1000000.001821,757,41424741,616,140, 0.813738, 0.184941
1.400000,29.200000,1000000.003127,292,50571815,229,62, 0.784247, 0.212329
1.500000,24.000000,1000000.006516,240,58949515,207,32, 0.862500, 0.133333
1.600000,14.599988,1000000.828380,146,66247387,132,13, 0.904110, 0.089041
1.700000,1.900000,1000000.003019,19,72970587,14,4, 0.736842, 0.210526
