alpha,eta,distance,targets,number-of-flights,inside,outside, inside-percent, outside-percent
0.100000,524846.126671,5010992.491611,263,673,183,80, 0.695817, 0.304183
0.200000,680429.483840,5011540.623955,341,4116,268,72, 0.785924, 0.211144
0.300000,766144.112531,5025164.243944,385,28814,325,60, 0.844156, 0.155844
0.400000,1119201.018740,5003569.426969,560,185223,511,49, 0.912500, 0.087500
0.500000,1867594.841057,5001084.707812,934,1057810,877,56, 0.938972, 0.059957
0.600000,2396104.330526,5049863.583087,1210,6050092,1166,44, 0.963636, 0.036364
0.700000,2868672.265841,5005800.129556,1436,35566636,1401,34, 0.975627, 0.023677
0.800000,3383565.635518,5000641.873883,1692,183858593,1668,23, 0.985816, 0.013593
0.900000,2467559.538337,5017102.853107,1238,739725848,1224,13, 0.988691, 0.010501
1.000000,2375255.827763,5001566.509653,1188,2543550647,1182,5, 0.994949, 0.004209
1.100000,2305999.999870,5000000.000281,1153,5215162695,1150,2, 0.997398, 0.001735
1.200000,245999.999944,5000000.001137,123,8469239158,122,0, 0.991870, 0.000000
1.300000,587999.896665,5000000.878702,294,11597339478,293,0, 0.996599, 0.000000
1.400000,3603999.999101,5000000.001247,1802,14307698815,1801,0, 0.999445, 0.000000
1.500000,6921999.991784,5000000.005934,3461,16670584810,3460,0, 0.999711, 0.000000
1.600000,3275998.942456,5000001.614079,1638,18750464151,1637,0, 0.999389, 0.000000
1.700000,13135999.999738,5000000.000100,6568,20589365564,6567,0, 0.999848, 0.000000
