alpha,eta,distance,targets,number-of-flights,inside,outside, inside-percent, outside-percent
0.100000,864.880823,1000022.172530,8649,15889,3394,5255, 0.392415, 0.607585
0.200000,870.865489,1000154.456468,8710,21667,3904,4806, 0.448220, 0.551780
0.300000,890.684355,1000129.837990,8908,30399,4540,4368, 0.509654, 0.490346
0.400000,808.113531,1000107.001514,8082,41924,4152,3930, 0.513734, 0.486266
0.500000,779.130900,1000088.688328,7792,59862,4296,3495, 0.551335, 0.448537
0.600000,698.269883,1000329.552674,6985,83124,3901,3084, 0.558482, 0.441518
0.700000,644.597116,1000004.474474,6446,114472,3831,2614, 0.594322, 0.405523
0.800000,587.095023,1000008.476981,5871,157250,3688,2182, 0.628172, 0.371657
0.900000,527.696365,1000006.888437,5277,204746,3464,1812, 0.656434, 0.343377
1.000000,439.996669,1000007.570761,4400,268984,2973,1426, 0.675682, 0.324091
1.100000,394.199812,1000000.476933,3942,331095,2811,1130, 0.713090, 0.286657
1.200000,318.199234,1000002.405924,3182,400657,2300,881, 0.722816, 0.276870
1.300000,276.599992,1000000.027697,2766,470539,2118,647, 0.765727, 0.233912
1.400000,207.399915,1000000.411428,2074,545299,1610,463, 0.776278, 0.223240
1.500000,168.986783,1000078.212039,1690,613376,1363,326, 0.806509, 0.192899
1.600000,133.099341,1000004.947715,1331,677664,1098,233, 0.824944, 0.175056
1.700000,106.799983,1000000.161085,1068,736644,908,159, 0.850187, 0.148876
