alpha,eta,distance,targets,number-of-flights,inside,outside, inside-percent, outside-percent
0.100000,495.577149,5000048.945424,247791,620561,164917,82874, 0.665549, 0.334451
0.200000,706.655683,5000044.696625,353331,1697293,278659,74672, 0.788663, 0.211337
0.300000,1010.561488,5000002.533634,505281,5107734,438518,66763, 0.867870, 0.132130
0.400000,1419.235305,5000009.493505,709619,15893868,650519,59100, 0.916716, 0.083284
0.500000,1942.798023,5000046.265542,971408,48990290,920467,50941, 0.947560, 0.052440
0.600000,2602.325586,5000031.537708,1301171,148266610,1258405,42766, 0.967133, 0.032867
0.700000,3409.991541,5000000.673264,1704996,426493492,1670846,34149, 0.979971, 0.020029
0.800000,4036.887844,5000000.192836,2018444,1143364934,1993259,25184, 0.987523, 0.012477
0.900000,4337.015844,5000000.180282,2168508,2733639283,2151707,16800, 0.992252, 0.007747
1.000000,4129.313999,5000000.001082,2064657,5648522917,2055000,9656, 0.995323, 0.004677
1.100000,3438.917990,5000000.014493,1719459,9917320480,1714637,4821, 0.997196, 0.002804
1.200000,2411.444000,5000000.000195,1205722,15003745400,1203706,2015, 0.998328, 0.001671
1.300000,1475.945999,5000000.002261,737973,20179461031,737228,744, 0.998990, 0.001008
1.400000,948.356000,5000000.002072,474178,25032574392,473906,271, 0.999426, 0.000572
1.500000,583.901999,5000000.008304,291951,29340807820,291857,93, 0.999678, 0.000319
1.600000,288.024000,5000000.000278,144012,33140834906,143989,22, 0.999840, 0.000153
1.700000,95.242000,5000000.000094,47621,36473951952,47611,9, 0.999790, 0.000189
