alpha,eta,distance,targets,number-of-flights,inside,outside, inside-percent, outside-percent
0.100000,276.997215,1000010.055778,27700,64262,11159,16541, 0.402852, 0.597148
0.200000,269.131158,1000032.854263,26914,118038,11844,15070, 0.440068, 0.559932
0.300000,257.552121,1000030.590992,25756,233443,12238,13518, 0.475151, 0.524849
0.400000,247.386252,1000015.151374,24739,475403,12744,11995, 0.515138, 0.484862
0.500000,230.809837,1000000.706260,23081,958096,12727,10353, 0.551406, 0.448551
0.600000,206.448317,1000008.150110,20645,1870275,11877,8767, 0.575297, 0.424655
0.700000,187.061168,1000047.215605,18707,3504646,11426,7280, 0.610787, 0.389159
0.800000,164.799919,1000000.490784,16480,6304839,10753,5726, 0.652488, 0.347451
0.900000,127.919866,1000001.044704,12792,10658426,8609,4182, 0.672999, 0.326923
1.000000,99.099612,1000003.911136,9910,16705521,7003,2906, 0.706660, 0.293239
1.100000,66.359570,1000006.481362,6636,24435925,4803,1832, 0.723779, 0.276070
1.200000,48.289992,1000000.164868,4829,33131591,3672,1156, 0.760406, 0.239387
1.300000,31.499999,1000000.015954,3150,42184475,2496,653, 0.792381, 0.207302
1.400000,18.299970,1000001.637782,1830,50962778,1486,343, 0.812022, 0.187432
1.500000,11.940000,1000000.009481,1194,59085932,1018,175, 0.852596, 0.146566
1.600000,8.190000,1000000.007805,819,66365462,717,101, 0.875458, 0.123321
1.700000,2.860000,1000000.007679,286,72996017,240,45, 0.839161, 0.157343
