alpha,eta,distance,targets,number-of-flights,inside,outside,inside-percent,outside-percent
0.100000,430.445840,1000032.895967,43046,102241,26403,16643,0.613367,0.386633
0.200000,530.839779,1000038.091606,53086,222291,38038,15048,0.716535,0.283465
0.300000,655.835080,1000053.245309,65587,518547,52173,13414,0.795478,0.204522
0.400000,817.806610,1000016.372536,81782,1268385,69938,11844,0.855176,0.144824
0.500000,1018.826259,1000052.747619,101888,3118162,91565,10323,0.898683,0.101317
0.600000,1218.019922,1000000.063773,121802,7537104,113192,8609,0.929312,0.070680
0.700000,1418.619511,1000028.540982,141866,17386342,134871,6994,0.950693,0.049300
0.800000,1519.310682,1000045.624434,151938,37674685,146641,5297,0.965137,0.034863
0.900000,1594.239564,1000000.273589,159424,74953208,155701,3722,0.976647,0.023347
1.000000,1492.759994,1000000.004195,149276,135552278,146998,2277,0.984740,0.015254
1.100000,1221.429496,1000000.412490,122143,215758366,120792,1350,0.988939,0.011053
1.200000,880.269999,1000000.001230,88027,311010519,87331,695,0.992093,0.007895
1.300000,673.130000,1000000.000413,67313,409518086,66992,320,0.995231,0.004754
1.400000,416.409993,1000000.016242,41641,502853132,41502,138,0.996662,0.003314
1.500000,260.589999,1000000.004566,26059,587577199,25992,66,0.997429,0.002533
1.600000,207.680000,1000000.000415,20768,663273095,20745,22,0.998893,0.001059
1.700000,92.860000,1000000.000114,9286,729499756,9277,8,0.999031,0.000862
