alpha,eta,distance,targets,number-of-flights,inside,outside, inside-percent, outside-percent
0.100000,448.519941,100062.440681,4488,18524,2841,1647, 0.633021, 0.366979
0.200000,602.356214,100007.269143,6024,82682,4548,1475, 0.754980, 0.244854
0.300000,802.298368,100050.060232,8027,390143,6722,1305, 0.837424, 0.162576
0.400000,1146.455989,100003.838856,11465,1976156,10303,1161, 0.898648, 0.101265
0.500000,1548.659831,100015.508164,15489,9769261,14486,1003, 0.935244, 0.064756
0.600000,1962.274330,100001.308184,19623,47036570,18766,856, 0.956327, 0.043622
0.700000,2423.974394,100046.436375,24251,214605347,23602,649, 0.973238, 0.026762
0.800000,2895.593143,100027.865006,28964,879323638,28482,482, 0.983359, 0.016641
0.900000,2736.891905,100000.295768,27369,3054243713,27096,272, 0.990025, 0.009938
1.000000,1728.999913,100000.005020,17290,8481988489,17152,137, 0.992019, 0.007924
1.100000,1807.999685,100000.017396,18080,17629782326,18025,54, 0.996958, 0.002987
1.200000,648.900000,100000.000019,6489,28855723043,6472,16, 0.997380, 0.002466
1.300000,276.000000,100000.000000,2760,39983052390,2757,2, 0.998913, 0.000725
1.400000,255.000000,100000.000002,2550,49947199433,2549,0, 0.999608, 0.000000
1.500000,115.800000,100000.000001,1158,58660014393,1157,0, 0.999136, 0.000000
1.600000,508.299923,100000.015234,5083,66269840919,5082,0, 0.999803, 0.000000
1.700000,248.500000,100000.000000,2485,72947515732,2484,0, 0.999598, 0.000000
