alpha,eta,distance,targets,number-of-flights,inside,outside, inside-percent, outside-percent
0.100000,40.490131,1000004.171434,404903,1393882,223168,181735, 0.551164, 0.448836
0.200000,43.497622,1000004.098214,434978,4016174,273167,161811, 0.628002, 0.371998
0.300000,46.683295,1000000.099542,466833,12355821,324307,142526, 0.694696, 0.305304
0.400000,49.460869,1000000.634115,494609,38242510,370412,124197, 0.748899, 0.251101
0.500000,51.844193,1000002.062723,518443,116779625,412306,106136, 0.795277, 0.204721
0.600000,52.684788,1000000.228079,526848,343833301,439606,87242, 0.834408, 0.165592
0.700000,50.931327,1000001.427750,509314,962646755,440775,68539, 0.865429, 0.134571
0.800000,46.278900,1000000.000231,462789,2494591998,412710,50078, 0.891789, 0.108209
0.900000,37.811572,1000000.747441,378116,5782946167,345467,32648, 0.913653, 0.086344
1.000000,27.390300,1000000.002710,273903,11658853506,255193,18709, 0.931691, 0.068305
1.100000,17.105400,1000000.000005,171054,20120900181,161685,9368, 0.945228, 0.054766
1.200000,9.276200,1000000.000135,92762,30197517722,88749,4012, 0.956739, 0.043250
1.300000,4.718800,1000000.059187,47188,40482066114,45622,1565, 0.966814, 0.033165
1.400000,2.144300,1000000.000834,21443,50093078865,20920,522, 0.975610, 0.024344
1.500000,0.911700,1000000.001120,9117,58697215873,8946,170, 0.981244, 0.018646
1.600000,0.329400,1000000.000001,3294,66280462982,3232,61, 0.981178, 0.018519
1.700000,0.183000,1000000.000005,1830,72950498730,1810,19, 0.989071, 0.010383
