alpha,eta,distance,targets,number-of-flights,inside,outside,inside-percent,outside-percent
0.100000,127.664023,1000015.486248,127666,260081,73737,53929,0.577577,0.422423
0.200000,141.842266,1000012.223586,141844,409646,92836,49008,0.654494,0.345506
0.300000,157.982680,1000008.354247,157984,681048,114313,43670,0.723573,0.276420
0.400000,175.319132,1000004.950873,175320,1159626,136629,38691,0.779312,0.220688
0.500000,190.400621,1000001.991641,190401,1987377,156909,33491,0.824098,0.175897
0.600000,207.591651,1000001.679447,207592,3370483,179050,28541,0.862509,0.137486
0.700000,214.036996,1000000.019958,214037,5593074,190699,23337,0.890963,0.109033
0.800000,217.083974,1000000.120710,217084,8924806,198592,18491,0.914816,0.085179
0.900000,213.708235,1000008.260200,213710,13628227,199544,14165,0.933714,0.066281
1.000000,197.799996,1000000.018012,197800,19713389,187605,10194,0.948458,0.051537
1.100000,176.246810,1000001.077268,176247,27007915,169286,6960,0.960504,0.039490
1.200000,147.516995,1000000.036713,147517,35225850,142934,4582,0.968932,0.031061
1.300000,127.764991,1000000.073973,127765,43599702,124858,2906,0.977247,0.022745
1.400000,103.131993,1000000.072558,103132,51880825,101413,1718,0.983332,0.016658
1.500000,78.236999,1000000.017148,78237,59522671,77204,1032,0.986797,0.013191
1.600000,66.668000,1000000.004908,66668,66712310,66033,634,0.990475,0.009510
1.700000,48.787998,1000000.048386,48788,73213895,48465,322,0.993380,0.006600
