alpha,eta,distance,targets,number-of-flights,inside,outside,inside-percent,outside-percent
0.100000,129.540714,1000002.208474,129541,309612,75787,53754,0.585043,0.414957
0.200000,148.670058,1000006.333934,148671,608008,100279,48392,0.674503,0.325497
0.300000,175.418504,1000002.826813,175419,1282217,132255,43164,0.753938,0.246062
0.400000,207.060759,1000005.994924,207062,2798791,169119,37943,0.816755,0.183245
0.500000,241.998939,1000004.382293,242000,6055703,209458,32542,0.865529,0.134471
0.600000,275.936748,1000004.538177,275938,12819585,248602,27335,0.900934,0.099062
0.700000,305.067576,1000001.388241,305068,26210135,282884,22183,0.927282,0.072715
0.800000,326.998997,1000000.010327,326999,50945926,310198,16800,0.948621,0.051376
0.900000,322.461000,1000000.000401,322461,91954645,310456,12004,0.962771,0.037226
1.000000,312.971999,1000000.002504,312972,152322995,304984,7987,0.974477,0.025520
1.100000,259.667999,1000000.002162,259668,231644081,254977,4690,0.981935,0.018062
1.200000,207.102999,1000000.006679,207103,322001552,204367,2735,0.986789,0.013206
1.300000,152.442999,1000000.007457,152443,416131408,151099,1343,0.991184,0.008810
1.400000,112.923000,1000000.000952,112923,506198840,112247,675,0.994014,0.005978
1.500000,74.566000,1000000.000762,74566,589446111,74238,327,0.995601,0.004385
1.600000,52.747987,1000000.254903,52748,663717707,52601,146,0.997213,0.002768
1.700000,42.046000,1000000.002503,42046,729799016,41983,62,0.998502,0.001475
