alpha,eta,distance,targets,number-of-flights,inside,outside,inside-percent,outside-percent
0.100000,400.558701,1000028.207631,40057,102299,23486,16571,0.586315,0.413685
0.200000,467.757733,1000026.225296,46777,222447,31764,15013,0.679052,0.320948
0.300000,551.449271,1000019.455860,55146,522989,41732,13414,0.756755,0.243245
0.400000,657.004606,1000023.430175,65702,1278281,53797,11905,0.818803,0.181197
0.500000,763.019366,1000000.830503,76302,3121781,65979,10322,0.864709,0.135278
0.600000,885.624368,1000017.650592,88564,7545879,79898,8666,0.902150,0.097850
0.700000,965.064688,1000036.590582,96510,17333138,89435,7075,0.926692,0.073308
0.800000,1045.969600,1000000.382579,104597,37822045,99244,5352,0.948823,0.051168
0.900000,1029.269091,1000000.883102,102927,75571925,99330,3596,0.965053,0.034937
1.000000,932.179998,1000000.002251,93218,135379078,90897,2320,0.975101,0.024888
1.100000,729.789979,1000000.028622,72979,217751494,71693,1285,0.982378,0.017608
1.200000,496.517974,1000044.361138,49654,311621554,49012,641,0.987071,0.012909
1.300000,357.789999,1000000.001482,35779,410647306,35491,287,0.991951,0.008021
1.400000,239.160000,1000000.000127,23916,502569849,23771,144,0.993937,0.006021
1.500000,139.190000,1000000.001008,13919,587942860,13862,56,0.995905,0.004023
1.600000,83.340000,1000000.002362,8334,663146761,8314,19,0.997600,0.002280
1.700000,66.360000,1000000.002386,6636,729659301,6626,9,0.998493,0.001356
