alpha,eta,distance,targets,number-of-flights,inside,outside,inside-percent,outside-percent
0.100000,366.367914,1000032.989511,36638,118012,20075,16563,0.547928,0.452072
0.200000,400.021430,1000046.421686,40004,328710,25080,14924,0.626937,0.373063
0.300000,432.929989,1000000.026081,43293,993616,29876,13416,0.690088,0.309888
0.400000,481.131534,1000038.381309,48115,3128497,36325,11790,0.754962,0.245038
0.500000,513.479537,1000000.901457,51348,9790568,41094,10253,0.800304,0.199677
0.600000,531.454488,1000048.004263,53148,29440080,44624,8524,0.839618,0.160382
0.700000,535.004919,1000046.879860,53503,85308577,46691,6812,0.872680,0.127320
0.800000,489.899968,1000000.064583,48990,228670350,43965,5024,0.897428,0.102552
0.900000,428.729969,1000000.073419,42873,546915371,39571,3301,0.922982,0.076995
1.000000,331.970000,1000000.000275,33197,1126909133,31263,1933,0.941742,0.058228
1.100000,206.740000,1000000.000713,20674,1981825098,19726,947,0.954145,0.045806
1.200000,116.220000,1000000.000047,11622,2999469933,11219,402,0.965324,0.034590
1.300000,57.919999,1000000.019207,5792,4041348404,5639,152,0.973584,0.026243
1.400000,27.989993,1000000.255007,2799,5003151403,2743,55,0.979993,0.019650
1.500000,13.490000,1000000.000221,1349,5868180071,1329,19,0.985174,0.014085
1.600000,5.860000,1000000.005452,586,6628986397,582,3,0.993174,0.005119
1.700000,3.900000,1000000.000074,390,7294883719,387,2,0.992308,0.005128
