mu,eta,distance,targets,number-of-flights,inside,outside
1.100000,7786.46,100003729.532356,31147,103530,12140,19007
1.200000,8748.79,100002404.838824,34996,154108,16537,18459
1.300000,9276.88,100001301.010280,37108,284987,19421,17687
1.400000,9184.49,100005558.021990,36740,561836,19831,16909
1.500000,9073.63,100004077.939577,36296,1105077,20162,16134
1.600000,8776.39,100004145.185390,35107,2159790,19701,15406
1.700000,8360.83,100002017.461345,33444,4018413,18638,14806
1.800000,8094.55,100002506.066193,32379,7064716,18083,14296
1.900000,7919.61,100001717.388599,31679,11650008,17881,13798
2.000000,7673.84,100002023.242672,30696,17865844,17259,13437
2.100000,7563.72,100003686.129171,30256,25585338,17095,13161
2.200000,7301.39,100004913.451639,29207,34079900,16209,12998
2.300000,7242.5,100003504.477033,28971,42740514,16074,12897
2.400000,7245.77,100003191.418118,28984,51343376,16167,12817
2.500000,7132.69,100007899.910985,28533,59420815,15758,12775
2.600000,7108.44,100004315.811796,28435,66619711,15681,12754
2.700000,7200.48,100000222.618853,28802,73096827,16057,12745
2.800000,7146.88,100005227.571732,28589,78920823,15853,12736
2.900000,7173.86,100005400.393027,28697,84030169,15962,12735
3.000000,7158.8,100006327.289342,28637,88660143,15905,12732
