alpha,eta,distance,targets,number-of-flights,inside,outside,inside-percent,outside-percent
0.100000,43.876906,1000002.136279,438770,848409,253061,185709,0.576751,0.423249
0.200000,48.502841,1000007.395935,485032,1216497,317215,167817,0.654008,0.345992
0.300000,53.350898,1000007.527846,533513,1809621,384394,149119,0.720496,0.279504
0.400000,58.581346,1000000.913642,585814,2737519,454719,131094,0.776217,0.223781
0.500000,63.293740,1000005.688221,632941,4148588,519444,113497,0.820683,0.179317
0.600000,67.447819,1000002.678559,674480,6228391,578292,96188,0.857389,0.142611
0.700000,70.260182,1000000.251067,702602,9154901,622862,79739,0.886508,0.113491
0.800000,71.576389,1000000.156334,715764,13063364,651132,64631,0.909702,0.090297
0.900000,70.607297,1000000.037068,706073,18075859,655726,50346,0.928694,0.071304
1.000000,68.345497,1000000.040331,683455,24139698,644898,38556,0.943585,0.056413
1.100000,63.380537,1000002.570725,633807,30962463,605434,28373,0.955234,0.044766
1.200000,58.218099,1000000.012867,582181,38484217,562083,20097,0.965478,0.034520
1.300000,50.668699,1000000.021793,506687,46116039,492916,13770,0.972821,0.027177
1.400000,43.602900,1000000.003246,436029,53603817,426770,9258,0.978765,0.021233
1.500000,37.549999,1000000.017567,375500,60865844,369411,6088,0.983784,0.016213
1.600000,31.893496,1000000.130644,318935,67538949,314872,4062,0.987261,0.012736
1.700000,25.524900,1000000.016674,255249,73677416,252717,2531,0.990080,0.009916
