mu,eta,distance,targets,number-of-flights,inside,outside
1.100000,48.0386,100000004.929327,1921545,5613240,29072,1892473
1.200000,47.5254,100000040.225750,1901017,4689238,33522,1867495
1.300000,46.8026,100000027.402998,1872105,4689699,40201,1831904
1.400000,46.021,100000006.022504,1840840,4931321,46638,1794202
1.500000,45.1935,100000012.225762,1807742,5269581,52356,1755386
1.600000,44.4026,100000042.743529,1776103,5655992,57674,1718429
1.700000,43.6462,100000049.577622,1745848,6055152,62704,1683144
1.800000,42.9463,100000011.843396,1717852,6452380,66792,1651060
1.900000,42.2914,100000057.331123,1691656,6839993,70343,1621313
2.000000,41.6966,100000032.877280,1667865,7209477,72964,1594901
2.100000,41.1381,100000051.457647,1645523,7568354,74804,1570719
2.200000,40.6414,100000001.641023,1625655,7900494,76735,1548920
2.300000,40.1836,100000032.517411,1607344,8231353,78133,1529211
2.400000,39.7744,100000000.721818,1590975,8531994,79307,1511668
2.500000,39.3577,100000023.874127,1574309,8822206,79215,1495094
2.600000,39.0159,100000040.036693,1560638,9096921,80064,1480574
2.700000,38.6869,100000017.225526,1547476,9356403,80502,1466974
2.800000,38.3603,100000012.171181,1534411,9599751,80023,1454388
2.900000,38.1015,100000059.108705,1524062,9825909,80848,1443214
3.000000,37.8237,100000076.158811,1512949,10040865,80591,1432358
