mu,eta,distance,targets,number-of-flights,inside,outside
1.100000,699.94,100000405.682407,279977,693426,87904,192073
1.200000,720.499,100000089.708478,288200,687501,100335,187865
1.300000,749.695,100000391.579301,299879,827274,117215,182664
1.400000,763.884,100000468.134365,305555,1047705,129438,176117
1.500000,769.63,100000654.432325,307854,1344539,138410,169444
1.600000,764.812,100000081.904508,305925,1713886,142969,162956
1.700000,755.111,100000154.017805,302045,2148972,144980,157065
1.800000,744.362,100000097.320111,297745,2646723,145746,151999
1.900000,730.399,100000117.581628,292160,3183677,144729,147431
2.000000,715.754,100000474.068274,286303,3767965,142758,143545
2.100000,701.872,100000035.667925,280749,4359499,140160,140589
2.200000,689.369,100000091.416412,275748,4978108,137886,137862
2.300000,678.826,100000531.407426,271532,5572198,135806,135726
2.400000,672.93,100000030.227590,269172,6172844,135315,133857
2.500000,664.496,100000555.219686,265800,6741801,133371,132429
2.600000,659.091,100000259.138583,263637,7283374,132251,131386
2.700000,657.122,100000894.357254,262851,7778628,132379,130472
2.800000,652.856,100000615.344651,261144,8253894,131347,129797
2.900000,650.008,100000234.435808,260004,8695965,130795,129209
3.000000,649.736,100000164.635606,259895,9102112,131104,128791
