mu,eta,distance,targets,number-of-flights,inside,outside
1.100000,11.8388,100000002.018973,11838793,25498659,2166071,9672722
1.200000,11.6695,100000005.540059,11669479,19446394,2046245,9623234
1.300000,11.6898,100000003.188798,11689845,17873990,2120088,9569757
1.400000,11.7938,100000001.116542,11793782,17347560,2269489,9524293
1.500000,11.9215,100000001.828874,11921500,17193800,2433867,9487633
1.600000,12.042,100000006.826048,12041958,17185596,2585071,9456887
1.700000,12.1432,100000002.584646,12143222,17231407,2709524,9433698
1.800000,12.2339,100000007.370746,12233925,17295652,2816394,9417531
1.900000,12.3057,100000001.917938,12305667,17362090,2901082,9404585
2.000000,12.3634,100000001.873895,12363353,17413820,2968491,9394862
2.100000,12.41,100000000.702874,12409984,17458448,3020477,9389507
2.200000,12.4472,100000004.010886,12447179,17496220,3061783,9385396
2.300000,12.4787,100000006.943332,12478730,17526513,3094796,9383934
2.400000,12.506,100000006.676649,12505963,17557673,3124972,9380991
2.500000,12.5207,100000002.236337,12520719,17584620,3143839,9376880
2.600000,12.5399,100000008.711332,12539900,17616991,3165885,9374015
2.700000,12.5605,100000001.197089,12560530,17651314,3188591,9371939
2.800000,12.5753,100000003.074239,12575286,17678503,3204829,9370457
2.900000,12.5836,100000002.481315,12583595,17710477,3218142,9365453
3.000000,12.6013,100000002.686068,12601277,17744956,3237981,9363296
