mu,eta,distance,targets,number-of-flights,inside,outside
1.100000,10.3316,100000001.882477,10331629,26284836,79247,10252382
1.200000,10.2927,100000007.166745,10292668,19949108,90674,10201994
1.300000,10.2525,100000000.727297,10252485,18208064,106179,10146306
1.400000,10.224,100000003.392198,10224016,17532368,124425,10099591
1.500000,10.207,100000002.331850,10206975,17232653,144659,10062316
1.600000,10.1964,100000008.353829,10196380,17086925,165593,10030787
1.700000,10.1989,100000004.957644,10198875,17012266,185652,10013223
1.800000,10.2053,100000000.370997,10205272,16979344,204651,10000621
1.900000,10.2141,100000003.328386,10214070,16963537,222550,9991520
2.000000,10.2249,100000002.608256,10224947,16961548,237695,9987252
2.100000,10.2342,100000011.196602,10234211,16964530,251820,9982391
2.200000,10.2425,100000006.196923,10242507,16974288,262575,9979932
2.300000,10.2481,100000001.876609,10248114,16987604,270605,9977509
2.400000,10.2525,100000012.161972,10252482,16999448,279644,9972838
2.500000,10.2568,100000007.844632,10256849,17023477,286336,9970513
2.600000,10.2593,100000009.322408,10259293,17041722,292248,9967045
2.700000,10.262,100000004.160195,10262028,17065557,297916,9964112
2.800000,10.2659,100000010.933183,10265861,17089815,302097,9963764
2.900000,10.2659,100000013.611998,10265864,17118565,305837,9960027
3.000000,10.2641,100000001.348256,10264099,17141699,309178,9954921
