mu,eta,distance,targets,number-of-flights,inside,outside
1.100000,341.665,100000129.954297,546664,1314452,161949,384715
1.200000,349.658,100000144.741409,559454,1235968,181605,377849
1.300000,360.911,100000108.504122,577458,1401383,209551,367907
1.400000,370.101,100000317.674295,592163,1674282,235806,356357
1.500000,375.02,100000199.780263,600033,2031160,255808,344225
1.600000,376.793,100000297.574772,602871,2452106,270456,332415
1.700000,374.462,100000240.024222,599141,2919724,277918,321223
1.800000,371.899,100000260.190204,595040,3443483,284133,310907
1.900000,366.609,100000016.787053,586574,3972226,284316,302258
2.000000,360.809,100000005.619747,577295,4529501,282883,294412
2.100000,355.085,100000099.302569,568136,5085564,280137,287999
2.200000,350.663,100000115.136986,561061,5643338,278965,282096
2.300000,346.312,100000053.880448,554100,6193377,276651,277449
2.400000,342.253,100000201.372129,547606,6712624,273989,273617
2.500000,338.527,100000034.583647,541644,7223509,271439,270205
2.600000,335.981,100000005.822419,537569,7698786,270035,267534
2.700000,332.703,100000167.845588,532325,8146410,267091,265234
2.800000,330.68,100000097.509847,529088,8573852,265731,263357
2.900000,328.941,100000304.955829,526307,8972827,264563,261744
3.000000,327.862,100000232.807047,524580,9345047,264139,260441
