mu,eta,distance,targets,number-of-flights,inside,outside
1.100000,240.767,100000138.472593,385227,1275654,8653,376574
1.200000,237.105,100000157.625802,379369,1193476,10053,369316
1.300000,232.027,100000148.847933,371244,1344356,11665,359579
1.400000,225.956,100000006.296287,361529,1597583,13010,348519
1.500000,219.54,100000316.253069,351265,1932784,13903,337362
1.600000,213.385,100000020.416871,341416,2325725,14558,326858
1.700000,207.627,100000008.989866,332204,2772903,15228,316976
1.800000,202.167,100000112.086572,323467,3262122,15616,307851
1.900000,197.349,100000112.842291,315759,3779263,15778,299981
2.000000,192.787,100000375.174636,308460,4316721,15585,292875
2.100000,188.837,100000042.765690,302139,4860463,15188,286951
2.200000,185.658,100000006.199162,297053,5404990,15363,281690
2.300000,182.685,100000020.885845,292296,5943304,15151,277145
2.400000,180.512,100000089.379200,288820,6461069,15302,273518
2.500000,178.424,100000253.919940,285479,6963539,15120,270359
2.600000,176.587,100000183.845204,282539,7430778,14886,267653
2.700000,175.342,100000051.414461,280547,7883250,15035,265512
2.800000,174.118,100000243.831129,278589,8307944,14985,263604
2.900000,172.915,100000056.513516,276664,8710255,14631,262033
3.000000,172.27,100000094.752666,275633,9076908,14883,260750
