alpha,eta,distance,targets,number-of-flights,inside,outside, inside-percent, outside-percent
0.100000,99.237244,1032.878342,41,70,22,19, 0.536585, 0.463415
0.200000,100.481035,1094.733943,44,93,26,18, 0.590909, 0.409091
0.300000,104.944734,1024.348679,43,91,26,17, 0.604651, 0.395349
0.400000,108.481840,1013.994597,44,133,30,14, 0.681818, 0.318182
0.500000,65.168485,1074.138819,28,164,15,13, 0.535714, 0.464286
0.600000,65.168485,1074.138819,28,164,15,13, 0.535714, 0.464286
0.700000,53.103560,1224.023393,26,228,16,10, 0.615385, 0.384615
0.800000,60.475585,1116.152899,27,274,16,11, 0.592593, 0.407407
0.900000,79.401276,1133.483040,36,316,26,10, 0.722222, 0.277778
1.000000,46.906898,1065.941305,20,320,12,8, 0.600000, 0.400000
1.100000,18.613189,1208.820271,9,481,4,5, 0.444444, 0.555556
1.200000,42.808744,1051.187108,18,554,14,4, 0.777778, 0.222222
1.300000,27.350288,1188.287296,13,693,8,5, 0.615385, 0.384615
1.400000,18.023261,1109.677076,8,621,4,4, 0.500000, 0.500000
1.500000,14.668079,1193.066957,7,787,4,3, 0.571429, 0.428571
1.600000,23.816949,1259.607195,12,839,9,3, 0.750000, 0.250000
1.700000,32.426445,1387.756206,18,1023,16,2, 0.888889, 0.111111
1.800000,11.373435,1099.052341,5,870,4,1, 0.800000, 0.200000
1.900000,26.179194,2196.400724,23,1880,20,3, 0.869565, 0.130435
2.000000,4.395056,1137.641818,2,1028,0,2, 0.000000, 1.000000
