alpha,eta,distance,targets,number-of-flights,inside,outside, inside-percent, outside-percent
0.100000,99.611062,10039.045696,400,633,212,188, 0.530000, 0.470000
0.200000,116.311362,10016.218366,466,782,289,177, 0.620172, 0.379828
0.300000,105.222704,10050.112374,423,965,256,167, 0.605201, 0.394799
0.400000,105.720862,10002.756170,423,1166,268,155, 0.633570, 0.366430
0.500000,84.012413,10147.310025,341,1326,200,141, 0.586510, 0.413490
0.600000,84.012413,10147.310025,341,1326,200,141, 0.586510, 0.413490
0.700000,75.124146,10249.700532,308,2055,197,111, 0.639610, 0.360390
0.800000,51.789077,10089.000093,209,2452,123,86, 0.588517, 0.411483
0.900000,46.311256,10094.738044,187,3057,121,66, 0.647059, 0.352941
1.000000,41.940460,10014.196269,168,3469,109,59, 0.648810, 0.351190
1.100000,40.503999,10060.734885,163,4009,111,52, 0.680982, 0.319018
1.200000,44.610363,10031.301489,179,4486,130,49, 0.726257, 0.273743
1.300000,35.924218,10021.095000,144,5432,110,34, 0.763889, 0.236111
1.400000,33.829016,10124.444539,137,5806,104,33, 0.759124, 0.240876
1.500000,16.774037,10134.709916,68,6666,51,17, 0.750000, 0.250000
1.600000,18.485543,10007.820750,74,6651,54,20, 0.729730, 0.270270
1.700000,18.085229,10505.811373,76,8026,61,15, 0.802632, 0.197368
1.800000,16.595050,10244.018781,68,8219,55,13, 0.808824, 0.191176
1.900000,15.432188,11825.931953,73,10045,61,12, 0.835616, 0.164384
2.000000,7.826812,10221.275384,32,9208,28,4, 0.875000, 0.125000
