alpha,eta,distance,targets,number-of-flights,inside,outside, inside-percent, outside-percent
0.100000,112.254129,10000010.758459,449017,699570,258604,190413, 0.575934, 0.424066
0.200000,110.559452,10000004.335198,442238,800488,266274,175964, 0.602106, 0.397894
0.300000,104.205201,10000004.657678,416821,945207,255252,161569, 0.612378, 0.387622
0.400000,95.939248,10000026.242165,383758,1134106,237683,146075, 0.619356, 0.380644
0.500000,88.224793,10000023.514507,352900,1379404,221807,131093, 0.628526, 0.371474
0.600000,88.224793,10000023.514507,352900,1379404,221807,131093, 0.628526, 0.371474
0.700000,73.577511,10000032.454952,294311,2044674,191865,102446, 0.651912, 0.348088
0.800000,65.569217,10000081.235871,262279,2475105,173791,88488, 0.662619, 0.337381
0.900000,58.983842,10000111.516945,235938,2962565,159701,76237, 0.676877, 0.323123
1.000000,51.898423,10000014.797182,207594,3482809,143152,64442, 0.689577, 0.310423
1.100000,44.902300,10000100.148463,179611,4060901,126120,53491, 0.702184, 0.297816
1.200000,39.019915,10000213.982699,156083,4652460,111810,44273, 0.716350, 0.283650
1.300000,33.689996,10000297.868723,134764,5247689,98585,36179, 0.731538, 0.268462
1.400000,28.923910,10000204.133872,115698,5852426,86672,29026, 0.749123, 0.250877
1.500000,24.553374,10000560.425448,98219,6437966,75063,23156, 0.764241, 0.235759
1.600000,21.113740,10000123.091769,84456,7000981,65939,18517, 0.780750, 0.219250
1.700000,17.636096,10000229.000258,70546,7526758,56048,14498, 0.794489, 0.205511
1.800000,15.404813,10000445.939836,61622,8016163,50110,11512, 0.813184, 0.186816
1.900000,13.295266,10000552.318514,53184,8483226,44187,8997, 0.830833, 0.169167
2.000000,11.439738,10000884.280739,45763,8906252,38824,6939, 0.848371, 0.151629
