alpha,eta,distance,targets,number-of-flights,inside,outside, inside-percent, outside-percent
0.100000,0.044809,10000014.635647,448090,694271,257990,190100, 0.575755, 0.424245
0.200000,0.043748,10000006.572352,437476,782015,261810,175666, 0.598456, 0.401544
0.300000,0.039968,10000000.823658,399676,900004,239733,159943, 0.599818, 0.400182
0.400000,0.035701,10000095.319227,357016,1043689,213643,143373, 0.598413, 0.401587
0.500000,0.031292,10000020.420856,312917,1215927,187505,125412, 0.599216, 0.400784
0.600000,0.031292,10000020.420856,312917,1215927,187505,125412, 0.599216, 0.400784
0.700000,0.021786,10000042.127185,217861,1510526,129334,88527, 0.593654, 0.406346
0.800000,0.016819,10000009.102505,168188,1493054,99143,69045, 0.589477, 0.410523
0.900000,0.012640,10000156.693177,126401,1130920,71617,54784, 0.566586, 0.433414
1.000000,0.020324,10000008.003991,203237,3283769,138627,64610, 0.682095, 0.317905
1.100000,0.009111,10000254.379383,91109,1700427,56177,34932, 0.616591, 0.383409
1.200000,0.009953,10000229.115796,99533,3013307,67404,32129, 0.677203, 0.322797
1.300000,0.010138,10000372.210922,101382,4084559,72262,29120, 0.712770, 0.287230
1.400000,0.009703,10001224.048133,97042,5011938,71458,25584, 0.736362, 0.263638
1.500000,0.008767,10000139.149207,87674,5847558,66433,21241, 0.757727, 0.242273
1.600000,0.007787,10000225.538183,77870,6613600,60433,17437, 0.776076, 0.223924
1.700000,0.006888,10000235.970729,68886,7303574,54872,14014, 0.796562, 0.203438
1.800000,0.005953,10000399.002861,59534,7918962,48292,11242, 0.811167, 0.188833
1.900000,0.005183,10000296.950363,51832,8447161,42932,8900, 0.828291, 0.171709
2.000000,0.004607,10001358.677188,46073,8905282,39085,6988, 0.848328, 0.151672
