alpha,eta,distance,targets,number-of-flights,inside,outside, inside-percent, outside-percent
0.100000,395.596912,1000007.805776,39560,65318,22856,16704, 0.577755, 0.422245
0.200000,395.341384,1000021.792782,39535,72568,24009,15526, 0.607285, 0.392715
0.300000,363.211829,1000050.027422,36323,85482,22135,14188, 0.609393, 0.390607
0.400000,336.609743,1000000.763891,33661,104684,20826,12835, 0.618698, 0.381302
0.500000,315.909835,1000032.176643,31592,127958,20104,11488, 0.636364, 0.363636
0.600000,315.909835,1000032.176643,31592,127958,20104,11488, 0.636364, 0.363636
0.700000,251.677558,1000128.903863,25171,192955,16233,8938, 0.644909, 0.355091
0.800000,228.717159,1000056.145144,22873,236994,15189,7684, 0.664058, 0.335942
0.900000,202.209313,1000003.399528,20221,284353,13609,6612, 0.673013, 0.326987
1.000000,176.888197,1000349.392865,17695,338845,12143,5552, 0.686239, 0.313761
1.100000,157.670527,1000060.078387,15768,397816,11092,4676, 0.703450, 0.296550
1.200000,132.858943,1000158.494532,13288,455175,9452,3836, 0.711318, 0.288682
1.300000,115.689000,1000267.956084,11572,520624,8515,3057, 0.735828, 0.264172
1.400000,97.983737,1000063.914845,9799,581016,7371,2428, 0.752220, 0.247780
1.500000,84.008656,1000254.065240,8403,639484,6471,1932, 0.770082, 0.229918
1.600000,66.751258,1000130.967361,6676,696603,5161,1515, 0.773068, 0.226932
1.700000,56.344813,1000979.449301,5640,748586,4468,1172, 0.792199, 0.207801
