alpha,eta,distance,targets,number-of-flights,inside,outside,inside-percent,outside-percent
0.100000,369.770071,1000026.850704,36978,83522,20334,16644,0.549895,0.450105
0.200000,387.346461,1000009.135868,38735,142602,23549,15186,0.607951,0.392049
0.300000,409.629572,1000001.044505,40963,269517,27381,13582,0.668432,0.331568
0.400000,439.935395,1000033.197870,43995,516525,31952,12043,0.726264,0.273736
0.500000,472.129198,1000001.699083,47213,1007745,36708,10504,0.777498,0.222481
0.600000,487.637924,1000004.256239,48764,1950718,39890,8873,0.818021,0.181958
0.700000,489.677526,1000025.474162,48969,3646516,41722,7246,0.852008,0.147971
0.800000,471.789878,1000000.259503,47179,6498021,41568,5610,0.881070,0.118909
0.900000,431.182051,1000018.434971,43119,10789769,39000,4118,0.904474,0.095503
1.000000,379.089790,1000000.553117,37909,16895744,35018,2890,0.923738,0.076235
1.100000,317.759999,1000000.003847,31776,24426057,29880,1895,0.940332,0.059636
1.200000,257.209601,1000001.551780,25721,33181719,24564,1156,0.955017,0.044944
1.300000,192.909991,1000000.047441,19291,42192666,18615,675,0.964958,0.034990
1.400000,121.969999,1000000.007890,12197,51073927,11860,336,0.972370,0.027548
1.500000,98.260000,1000000.001110,9826,59121482,9642,183,0.981274,0.018624
1.600000,62.709999,1000000.017432,6271,66397063,6172,98,0.984213,0.015627
1.700000,39.160000,1000000.008105,3916,73013527,3875,40,0.989530,0.010215
